process,lemma,pos,nova_label,confidence,score_gap,frequency
unmold,unmold,NOUN,NOVA 3,-0.021374056,0.0028751139,116
pour,pour,VERB,NOVA 2,0.046933915,0.022292834,20212
overmix,overmix,NOUN,NOVA 4,0.09972197,0.06393588,108
zest,z,ADJ,NOVA 2,0.12241541,0.055894442,538
charred,char,VERB,NOVA 2,0.12241541,0.055894442,216
char,char,PROPN,NOVA 2,0.12241541,0.055894442,65
fold,fold,VERB,NOVA 1,0.12985542,0.009024546,9360
unroll,unroll,VERB,NOVA 1,0.13552083,0.07311843,153
mix,mix,VERB,NOVA 1,0.14147158,0.050461255,53863
blot,blot,NOUN,NOVA 4,0.16141894,0.058792986,54
insert,insert,VERB,NOVA 2,0.16674379,0.056126676,150
shred,shre,VERB,NOVA 1,0.1757337,0.050205007,895
slash,slash,NOUN,NOVA 1,0.17906798,0.07201862,63
sift,sift,VERB,NOVA 1,0.19045626,0.033583656,2373
tuck,tuck,NOUN,NOVA 1,0.19163993,0.00038217008,149
wilt,wilt,NOUN,NOVA 1,0.19598372,0.032041863,48
pierce,pierce,PROPN,NOVA 1,0.20280114,0.060556933,315
pat,pat,PROPN,NOVA 1,0.2275412,0.014859483,1177
prepare,prepare,VERB,NOVA 2,0.24075192,0.09148064,5115
test,test,NOUN,NOVA 2,0.24075192,0.09148064,195
shape,shape,NOUN,NOVA 2,0.25105983,0.07622263,2219
dressing,dress,VERB,NOVA 3,0.25125894,0.02043128,1199
dress,dress,NOUN,NOVA 3,0.25125894,0.02043128,111
store,store,NOUN,NOVA 2,0.25253275,0.088690996,2474
select,select,VERB,NOVA 2,0.25253275,0.088690996,155
muddle,muddle,VERB,NOVA 2,0.25700566,0.05457695,60
whip,whip,NOUN,NOVA 1,0.26013392,0.07283659,658
settle,settle,VERB,NOVA 2,0.26461414,0.11532408,50
tilt,tilt,NOUN,NOVA 1,0.2683435,0.07898724,76
separate,separate,VERB,NOVA 2,0.26934108,0.020666525,1256
scramble,scramble,VERB,NOVA 3,0.2695493,0.00638327,130
unfold,unfold,VERB,NOVA 2,0.27013546,0.10197532,88
season,season,NOUN,NOVA 2,0.2721251,0.08408719,16148
seasoning,season,VERB,NOVA 2,0.2721251,0.08408719,2656
trim,trim,VERB,NOVA 1,0.2856495,0.053419426,891
frost,frost,NOUN,NOVA 1,0.2903504,0.013699293,200
bubbling,bubble,VERB,NOVA 2,0.29638335,0.056608617,637
bubble,bubble,NOUN,NOVA 2,0.29638335,0.056608617,371
deflate,deflate,VERB,NOVA 2,0.29638335,0.056608617,73
