process,lemma,nova_label,confidence,frequency
add,add,NOVA 3,0.8254789,187921
heat,heat,NOVA 4,0.30437595,102759
cook,cook,NOVA 3,0.8468164,94106
stir,stir,NOVA 3,0.8254789,83544
place,place,NOVA 2,0.469408,55651
mix,mix,NOVA 1,0.14147158,53863
cover,cover,NOVA 1,0.34657547,50143
remove,remove,NOVA 2,0.46428323,49561
serve,serve,NOVA 2,0.46596247,42398
boil,boil,NOVA 3,0.79944307,39022
simmer,simmer,NOVA 3,0.7173461,37371
bake,bake,NOVA 3,0.8468164,30384
stirring,stirring,NOVA 3,0.79944307,29601
sprinkle,sprinkle,NOVA 3,0.8047093,27601
cool,cool,NOVA 1,0.41117924,26415
preheat,preheat,NOVA 3,0.70257926,24199
cut,cut,NOVA 1,0.56853783,22279
combine,combine,NOVA 4,0.4616019,21822
drain,drain,NOVA 1,0.6419678,21697
pour,pour,NOVA 4,0.05435067,20212
set,set,NOVA 2,0.38246244,18077
season,season,NOVA 2,0.2721251,16148
beat,beat,NOVA 2,0.3690666,15354
spread,spread,NOVA 2,0.4215039,14348
transfer,transfer,NOVA 1,0.4233778,13155
whisk,whisk,NOVA 1,0.4027103,11452
smooth,smooth,NOVA 3,0.57854617,11152
top,top,NOVA 2,0.3697234,11036
blend,blend,NOVA 4,0.4616019,10698
refrigerate,refrigerate,NOVA 3,0.79944307,10567
put,put,NOVA 1,0.52172565,10515
fry,fry,NOVA 3,0.826304,9820
melt,melt,NOVA 4,0.34446815,9803
reduce,reduce,NOVA 2,0.49368864,9366
fold,fold,NOVA 4,0.13543315,9360
dry,dry,NOVA 4,0.5379101,8763
slice,slice,NOVA 3,0.826304,8683
coat,coat,NOVA 4,0.46328837,7257
cream,cream,NOVA 3,0.57854617,6818
chop,chop,NOVA 3,0.8464666,6569
taste,taste,NOVA 3,0.43062016,6361
peel,peel,NOVA 1,0.6228491,6211
garnish,garnish,NOVA 3,0.826304,6100
brush,brush,NOVA 1,0.56853783,6083
press,press,NOVA 2,0.6302636,5999
drizzle,drizzle,NOVA 3,0.8254789,5792
roll,roll,NOVA 1,0.4386633,5716
grease,grease,NOVA 4,0.46328837,5490
chill,chill,NOVA 1,0.508821,5246
saute,saute,NOVA 3,0.8464666,5189
prepare,prepare,NOVA 2,0.24075192,5115
knead,knead,NOVA 1,0.5336762,4093
stand,stand,NOVA 1,0.43968385,4042
process,process,NOVA 1,0.4233778,3973
divide,divide,NOVA 2,0.42217618,3869
toss,toss,NOVA 3,0.826304,3240
strain,strain,NOVA 1,0.34786132,2994
puree,puree,NOVA 3,0.7278615,2853
rinse,rinse,NOVA 4,0.5009383,2743
spray,spray,NOVA 4,0.4331666,2726
seasoning,season,NOVA 2,0.2721251,2656
wash,wash,NOVA 4,0.46328837,2560
arrange,arrange,NOVA 2,0.3673246,2487
store,store,NOVA 2,0.25253275,2474
sift,sift,NOVA 1,0.19045626,2373
seal,seal,NOVA 4,0.36662897,2368
rise,rise,NOVA 2,0.49368864,2312
note,note,NOVA 2,0.63843757,2222
shape,shape,NOVA 2,0.25105983,2219
wrap,wrap,NOVA 3,0.56037533,2183
soak,soak,NOVA 1,0.6419678,2167
fill,fill,NOVA 2,0.5610592,2160
roast,roast,NOVA 3,0.5711076,2069
