process,lemma,pos,nova_label,confidence,score_gap,frequency
add,add,VERB,NOVA 1,0.8254789,0.2084263,187921
heat,heat,NOUN,NOVA 2,0.30398548,0.0046642423,102759
cook,cook,VERB,NOVA 3,0.8468164,0.19181383,94106
stir,stir,VERB,NOVA 3,0.8254789,0.2084263,83544
place,place,NOUN,NOVA 2,0.469408,0.03407079,55651
mix,mix,VERB,NOVA 1,0.14147158,0.050461255,53863
cover,cover,VERB,NOVA 1,0.34657547,0.006280601,50143
remove,remove,VERB,NOVA 2,0.46428323,0.017342806,49561
serve,serve,VERB,NOVA 2,0.46596247,0.11222032,42398
boil,boil,VERB,NOVA 2,0.79944307,0.26988333,39022
simmer,simmer,NOUN,NOVA 3,0.7173461,0.32379845,37371
bake,bake,NOUN,NOVA 3,0.8468164,0.19181383,30384
stirring,stirring,NOUN,NOVA 3,0.79944307,0.26988333,29601
sprinkle,sprinkle,VERB,NOVA 3,0.8047093,0.11867553,27601
cool,cool,ADJ,NOVA 1,0.41117924,0.18145853,26415
preheat,preheat,NOUN,NOVA 3,0.70257926,0.18051267,24199
cut,cut,VERB,NOVA 1,0.56853783,0.23164046,22279
combine,combine,VERB,NOVA 4,0.47310242,0.016216695,21822
drain,drain,NOUN,NOVA 1,0.6419678,0.013976753,21697
pour,pour,VERB,NOVA 2,0.046933915,0.022292834,20212
set,set,VERB,NOVA 2,0.38246244,0.07329169,18077
season,season,NOUN,NOVA 2,0.2721251,0.08408719,16148
beat,beat,VERB,NOVA 2,0.3690666,0.026242822,15354
spread,spread,VERB,NOVA 2,0.4215039,0.013528556,14348
transfer,transfer,VERB,NOVA 1,0.4233778,0.10063216,13155
whisk,whisk,NOUN,NOVA 1,0.4027103,0.042897195,11452
smooth,smooth,ADJ,NOVA 3,0.57854617,0.118605435,11152
top,top,ADJ,NOVA 2,0.3697234,0.20757079,11036
blend,blend,NOUN,NOVA 4,0.47310242,0.016216695,10698
refrigerate,refrigerate,NOUN,NOVA 3,0.79944307,0.26988333,10567
put,put,VERB,NOVA 1,0.52172565,0.003429234,10515
fry,fry,NOUN,NOVA 3,0.826304,0.123503745,9820
melt,melt,VERB,NOVA 4,0.3496494,0.062262386,9803
reduce,reduce,VERB,NOVA 2,0.49368864,0.15409598,9366
fold,fold,VERB,NOVA 1,0.12985542,0.009024546,9360
dry,dry,ADJ,NOVA 4,0.5591286,0.16221642,8763
slice,slice,NOUN,NOVA 3,0.826304,0.123503745,8683
coat,coat,VERB,NOVA 4,0.46531165,0.022094369,7257
cream,cream,NOUN,NOVA 3,0.57854617,0.118605435,6818
chop,chop,VERB,NOVA 3,0.8464666,0.15029573,6569
taste,taste,VERB,NOVA 3,0.43062016,0.04516396,6361
peel,peel,NOUN,NOVA 1,0.6228491,0.08183426,6211
garnish,garnish,NOUN,NOVA 3,0.826304,0.123503745,6100
brush,brush,NOUN,NOVA 1,0.56853783,0.23164046,6083
press,press,NOUN,NOVA 2,0.6302636,0.3958587,5999
drizzle,drizzle,VERB,NOVA 3,0.8254789,0.2084263,5792
roll,roll,VERB,NOVA 1,0.4386633,0.05196607,5716
grease,grease,NOUN,NOVA 4,0.46531165,0.022094369,5490
chill,chill,NOUN,NOVA 1,0.508821,0.14955619,5246
saute,saute,NOUN,NOVA 3,0.8464666,0.15029573,5189
prepare,prepare,VERB,NOVA 2,0.24075192,0.09148064,5115
knead,knead,NOUN,NOVA 1,0.5336762,0.13345397,4093
stand,stand,VERB,NOVA 1,0.43968385,0.088520944,4042
process,process,NOUN,NOVA 1,0.4233778,0.10063216,3973
divide,divide,VERB,NOVA 2,0.42217618,0.19077235,3869
toss,toss,VERB,NOVA 3,0.826304,0.123503745,3240
strain,strain,NOUN,NOVA 1,0.34786132,0.023387492,2994
puree,puree,ADJ,NOVA 3,0.7278615,0.1720016,2853
rinse,rinse,NOUN,NOVA 4,0.5221479,0.17901534,2743
spray,spray,VERB,NOVA 4,0.45617318,0.11474323,2726
seasoning,season,VERB,NOVA 2,0.2721251,0.08408719,2656
wash,wash,VERB,NOVA 4,0.46531165,0.022094369,2560
arrange,arrange,NOUN,NOVA 2,0.3673246,0.09332889,2487
store,store,NOUN,NOVA 2,0.25253275,0.088690996,2474
sift,sift,VERB,NOVA 1,0.19045626,0.033583656,2373
seal,seal,NOUN,NOVA 4,0.3630807,0.0495784,2368
rise,rise,VERB,NOVA 2,0.49368864,0.15409598,2312
note,note,VERB,NOVA 2,0.63843757,0.34972942,2222
shape,shape,NOUN,NOVA 2,0.25105983,0.07622263,2219
wrap,wrap,NOUN,NOVA 3,0.56037533,0.049023032,2183
soak,soak,VERB,NOVA 1,0.6419678,0.013976753,2167
fill,fill,VERB,NOVA 2,0.5610592,0.0989134,2160
roast,roast,NOUN,NOVA 3,0.5711076,0.26840663,2069
broil,broil,NOUN,NOVA 3,0.70257926,0.18051267,2040
stir-fry,stir fry,VERB;NOUN;NOUN,NOVA 3,0.8792496,0.17755157,1944
dust,dust,NOUN,NOVA 4,0.46531165,0.022094369,1674
drop,drop,VERB,NOVA 2,0.3602325,0.025621176,1665
dip,dip,NOUN,NOVA 3,0.8254789,0.2084263,1608
marinate,marinate,NOUN,NOVA 3,0.7173461,0.32379845,1536
ladle,ladle,NOUN,NOVA 3,0.70257926,0.18051267,1424
scoop,scoop,VERB,NOVA 1,0.6419678,0.013976753,1398
dice,dice,PROPN,NOVA 2,0.29848346,0.07189119,1396
mash,mash,NOUN,NOVA 3,0.8468164,0.19181383,1396
uncover,uncover,VERB,NOVA 4,0.36496338,0.059155792,1382
dissolve,dissolve,VERB,NOVA 4,0.664465,0.26639673,1309
separate,separate,VERB,NOVA 2,0.26934108,0.020666525,1256
dressing,dress,VERB,NOVA 3,0.25125894,0.02043128,1199
uncovered,uncover,VERB,NOVA 4,0.36496338,0.059155792,1187
pat,pat,PROPN,NOVA 1,0.2275412,0.014859483,1177
shake,shake,VERB,NOVA 1,0.6419678,0.013976753,1151
turn,turn,VERB,NOVA 1,0.52172565,0.003429234,1099
take,take,VERB,NOVA 2,0.36542767,0.040895134,1073
break,break,VERB,NOVA 1,0.43308467,0.018482715,1071
grind,grind,NOUN,NOVA 1,0.4670903,0.03736928,1030
toast,toast,NOUN,NOVA 3,0.753448,0.18676013,1017
evaporated,evaporate,VERB,NOVA 4,0.664465,0.26639673,988
steam,steam,NOUN,NOVA 4,0.5490532,0.20410222,966
squeeze,squeeze,NOUN,NOVA 1,0.6419678,0.013976753,953
crumble,crumble,VERB,NOVA 3,0.753448,0.18676013,950
scrape,scrape,NOUN,NOVA 2,0.40397835,0.036659747,915
shred,shre,VERB,NOVA 1,0.1757337,0.050205007,895
trim,trim,VERB,NOVA 1,0.2856495,0.053419426,891
scatter,scatter,VERB,NOVA 4,0.34781808,0.10988638,811
reheat,reheat,NOUN,NOVA 3,0.6605913,0.21910304,806
flip,flip,VERB,NOVA 1,0.3383824,0.12594524,795
dredge,dredge,VERB,NOVA 3,0.43542522,0.113185406,782
crush,crush,VERB,NOVA 1,0.43308467,0.018482715,781
clean,clean,ADJ,NOVA 1,0.39071572,0.034361213,732
check,check,VERB,NOVA 2,0.33854812,0.07445574,684
stuff,stuff,NOUN,NOVA 1,0.49289858,0.056294262,682
grate,grate,NOUN,NOVA 1,0.5336762,0.13345397,670
whip,whip,NOUN,NOVA 1,0.26013392,0.07283659,658
bubbling,bubble,VERB,NOVA 2,0.29638335,0.056608617,637
punch,punch,VERB,NOVA 1,0.4386633,0.05196607,630
warm,warm,ADJ,NOVA 3,0.57854617,0.118605435,617
skim,skim,NOUN,NOVA 3,0.5980553,0.0450148,601
smoking,smoking,NOUN,NOVA 2,0.39409977,0.13847646,567
thread,thread,NOUN,NOVA 2,0.3555152,0.06978318,566
wipe,wipe,VERB,NOVA 4,0.46531165,0.022094369,563
decorate,decorate,VERB,NOVA 3,0.40291062,0.009762824,550
marinade,marinade,NOUN,NOVA 3,0.8254789,0.2084263,543
zest,z,ADJ,NOVA 2,0.12241541,0.055894442,538
handle,handle,VERB,NOVA 1,0.3638483,0.06185946,529
rub,rub,VERB,NOVA 3,0.4299379,0.030701369,523
flatten,flatten,VERB,NOVA 3,0.4299379,0.030701369,515
pull,pull,VERB,NOVA 1,0.4670903,0.03736928,513
push,push,VERB,NOVA 1,0.4670903,0.03736928,508
reserve,reserve,VERB,NOVA 2,0.3777117,0.13051878,491
mince,mince,NOUN,NOVA 3,0.7728544,0.20275325,474
prick,prick,VERB,NOVA 1,0.3948643,0.12321901,466
open,open,VERB,NOVA 2,0.4215039,0.013528556,461
pre-heat,pre heat,ADJ;ADJ;ADJ,NOVA 2,0.3836576,0.007011771,456
butter,butter,NOUN,NOVA 3,0.8254789,0.2084263,445
sear,sear,VERB,NOVA 3,0.6282498,0.3098531,443
measure,measure,NOUN,NOVA 2,0.37041783,0.0990724,430
