Protein,Total Fat,Carbohydrate,Energy,Alcohol,Water,Caffeine,Theobromine,"Sugars, total","Fiber, total dietary",Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Retinol,"Vitamin A, RAE","Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,Vitamin C,Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Folic acid,"Folate, food","Folate, DFE","Vitamin E, added","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated",4:0,6:0,8:0,10:0,12:0,14:0,16:0,18:0,18:1,18:2,18:3,20:4,22:6 n-3,16:1,18:4,20:1,20:5 n-3,22:1,22:5 n-3,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated",Daidzein,Genistein,Glycitein,Cyanidin,Petunidin,Delphinidin,Malvidin,Pelargonidin,Peonidin,(+)-Catechin,(-)-Epigallocatechin,(-)-Epicatechin,(-)-Epicatechin 3-gallate,(-)-Epigallocatechin 3-gallate,Theaflavin,Thearubigins,Eriodictyol,Hesperetin,Naringenin,Apigenin,Luteolin,Isorhamnetin,Kaempferol,Myricetin,Quercetin,"Theaflavin-3,3'-digallate",Theaflavin-3'-gallate,Theaflavin-3-gallate,(+)-Gallocatechin,Total flavonoids,Total anthocyanidins,Total catechins (monomeric flavan-3-ols only),Total flavan-3-ols,Total flavanones,Total flavones,Total flavonols,Total isoflavones,novaclass
1.03,4.38,6.89,70.0,0.0,87.5,0.0,0.0,6.89,0.0,32.0,0.03,3.0,14.0,51.0,17.0,0.17,0.052,1.8,60.0,61.0,7.0,0.0,0.08,0.1,0.0,0.0,0.0,5.0,0.014,0.036,0.177,0.011,5.0,0.05,16.0,0.3,0.0,5.0,5.0,0.0,0.0,14.0,2.009,0.0,0.0,0.0,0.063,0.256,0.321,0.919,0.293,1.475,0.374,0.052,0.026,0.0,0.129,0.0,0.04,0.0,0.0,0.0,1.658,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.28,1.91,4.85,50.0,0.0,89.25,0.0,0.0,5.08,0.0,119.0,0.03,11.0,91.0,142.0,44.0,0.43,0.014,3.1,53.0,54.0,4.0,0.0,0.04,1.2,0.0,0.0,0.0,0.1,0.04,0.18,0.092,0.037,5.0,0.49,15.8,0.2,0.0,5.0,5.0,0.0,0.0,7.0,1.154,0.057,0.041,0.033,0.046,0.049,0.173,0.513,0.225,0.483,0.065,0.027,0.0,0.0,0.013,0.0,0.001,0.0,0.0,0.0,0.507,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.15,3.25,4.8,61.0,0.0,88.13,0.0,0.0,5.05,0.0,113.0,0.03,10.0,84.0,132.0,43.0,0.37,0.025,3.7,45.0,46.0,7.0,0.0,0.07,1.3,0.0,0.0,0.0,0.0,0.046,0.169,0.089,0.036,5.0,0.45,14.3,0.3,0.0,5.0,5.0,0.0,0.0,10.0,1.865,0.075,0.075,0.075,0.075,0.077,0.297,0.829,0.365,0.812,0.12,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.1,3.46,4.46,61.0,0.0,88.2,0.0,0.0,4.46,0.0,101.0,0.05,5.0,86.0,253.0,3.0,0.38,0.01,2.0,28.0,29.0,7.0,0.0,0.08,1.3,0.0,0.0,0.0,0.9,0.02,0.105,0.043,0.034,5.0,0.36,16.0,0.3,0.0,5.0,5.0,0.0,0.0,14.0,2.154,0.112,0.066,0.039,0.087,0.097,0.348,0.91,0.419,0.87,0.078,0.05,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.999,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.14,3.24,4.79,61.0,0.0,87.87,0.0,0.0,5.04,0.0,412.0,0.03,10.0,84.0,132.0,43.0,0.37,0.025,3.7,45.0,46.0,7.0,0.0,0.07,1.3,0.0,0.0,0.0,0.0,0.046,0.168,0.089,0.036,5.0,0.45,14.3,0.3,0.0,5.0,5.0,0.0,0.0,10.0,1.859,0.075,0.075,0.075,0.075,0.077,0.296,0.827,0.364,0.81,0.12,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.37,0.97,4.99,42.0,0.0,89.83,0.0,0.0,5.2,0.0,225.0,0.03,11.0,95.0,150.0,44.0,0.42,0.01,3.3,58.0,58.0,2.0,0.0,0.01,1.2,0.0,0.0,0.0,0.0,0.02,0.185,0.093,0.037,5.0,0.47,17.7,0.1,0.0,5.0,5.0,0.0,0.0,5.0,0.632,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.25,0.03,0.004,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.277,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.4,0.18,4.85,35.0,0.0,90.8,0.0,0.0,4.85,0.0,204.0,0.04,11.0,101.0,166.0,52.0,0.4,0.011,2.1,137.0,137.0,0.0,0.0,0.01,1.2,0.0,0.0,0.0,1.0,0.036,0.14,0.088,0.04,5.0,0.38,16.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,0.117,0.009,0.001,0.002,0.004,0.003,0.017,0.053,0.019,0.038,0.005,0.002,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.047,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.3,1.98,4.8,50.0,0.0,89.21,0.0,0.0,5.06,0.0,120.0,0.02,11.0,92.0,140.0,47.0,0.48,0.006,2.5,55.0,55.0,4.0,0.0,0.03,1.2,0.0,0.0,0.0,0.2,0.039,0.185,0.092,0.038,5.0,0.53,16.4,0.2,0.0,5.0,5.0,0.0,0.0,8.0,1.257,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.508,0.062,0.008,0.0,0.0,0.027,0.0,0.002,0.0,0.0,0.0,0.56,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.37,0.97,4.99,42.0,0.0,89.92,0.0,0.0,5.2,0.0,125.0,0.03,11.0,95.0,150.0,44.0,0.42,0.01,3.3,58.0,58.0,2.0,0.0,0.01,1.2,0.0,0.0,0.0,0.0,0.02,0.185,0.093,0.037,5.0,0.47,17.7,0.1,0.0,5.0,5.0,0.0,0.0,5.0,0.633,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.25,0.03,0.004,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.277,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.3,1.98,4.8,50.0,0.0,89.21,0.0,0.0,5.06,0.0,120.0,0.02,11.0,92.0,140.0,47.0,0.48,0.006,2.5,55.0,55.0,4.0,0.0,0.03,1.2,0.0,0.0,0.0,0.2,0.039,0.185,0.092,0.038,5.0,0.53,16.4,0.2,0.0,5.0,5.0,0.0,0.0,8.0,1.257,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.508,0.062,0.008,0.0,0.0,0.027,0.0,0.002,0.0,0.0,0.0,0.56,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
