Model,F1 Score,MCC,Accuracy,Precision,Recall
LightGBM,0.9307643175136744,0.8497509287855454,0.9326599326599326,0.9313590737313087,0.9326599326599326
GradientBoost,0.9014132684657392,0.7843962871246872,0.9040404040404041,0.9011725754543854,0.9040404040404041
RandomForest,0.9095009482111412,0.8027313722425168,0.9124579124579124,0.9088050795424066,0.9124579124579124
XGBoost,0.9245882363075231,0.8358105009322527,0.9259259259259259,0.924839512538232,0.9259259259259259
ExtraTrees,0.8982729731621629,0.7787720869783794,0.9023569023569024,0.8982778624980917,0.9023569023569024
MLP,0.8821038669523519,0.7421858059311908,0.8821548821548821,0.8821154810516512,0.8821548821548821
KNN,0.830465652818594,0.6265484852466415,0.8316498316498316,0.8318276904217579,0.8316498316498316
DecisionTree,0.8608745575656856,0.6955073101376958,0.8619528619528619,0.8629071331002928,0.8619528619528619
LogisticRegression,0.8073286707301953,0.601422454523624,0.8316498316498316,0.8286728584462432,0.8316498316498316
SVM,0.7514395725602622,0.47524894137655765,0.7895622895622896,0.7782621575315047,0.7895622895622896
AdaBoost,0.7836740051066863,0.5200437506767325,0.7946127946127947,0.780306377309085,0.7946127946127947
NaiveBayes,0.5316263483973646,0.32260695856239174,0.4663299663299663,0.7979786548434953,0.4663299663299663
