Model,F1 Score,MCC,Accuracy,Precision,Recall
LightGBM,0.9133429626253442,0.8105401926310862,0.9158249158249159,0.9128688594115129,0.9158249158249159
GradientBoost,0.8938934148492644,0.7678036851602199,0.8973063973063973,0.8928851063695165,0.8973063973063973
RandomForest,0.90583333112046,0.7946171992060295,0.9090909090909091,0.9058599372807024,0.9090909090909091
XGBoost,0.9064191357307549,0.7955767392438562,0.9090909090909091,0.9056400466602524,0.9090909090909091
ExtraTrees,0.9089510052082554,0.8025241364765012,0.9124579124579124,0.9090479463286479,0.9124579124579124
MLP,0.8758999164266943,0.7280430244358688,0.877104377104377,0.8749053743795343,0.877104377104377
KNN,0.8717595375873961,0.7186918121722404,0.8703703703703703,0.874996999287051,0.8703703703703703
DecisionTree,0.8629717129232936,0.7000873223377982,0.8636363636363636,0.8631332100923733,0.8636363636363636
LogisticRegression,0.7359320695999584,0.44796518196513696,0.7811447811447811,0.7735074350968134,0.7811447811447811
SVM,0.788159901096337,0.5486213625570521,0.8148148148148148,0.8020860334929999,0.8148148148148148
AdaBoost,0.737840414584074,0.4361803001363362,0.7727272727272727,0.733355161869218,0.7727272727272727
NaiveBayes,0.5778747793322675,0.33940347514055247,0.5387205387205387,0.744687371417228,0.5387205387205387
