Model,F1 Score,MCC,Accuracy,Precision,Recall,dataset
LightGBM,0.9307643175136744,0.8497509287855454,0.9326599326599326,0.9313590737313088,0.9326599326599326,65 nutrients
GradientBoost,0.9014132684657392,0.7843962871246872,0.904040404040404,0.9011725754543854,0.904040404040404,65 nutrients
RandomForest,0.9095009482111412,0.8027313722425168,0.9124579124579124,0.9088050795424066,0.9124579124579124,65 nutrients
XGBoost,0.9245882363075232,0.8358105009322527,0.925925925925926,0.924839512538232,0.925925925925926,65 nutrients
ExtraTrees,0.8982729731621629,0.7787720869783794,0.9023569023569024,0.8982778624980917,0.9023569023569024,65 nutrients
MLP,0.8821038669523519,0.7421858059311908,0.8821548821548821,0.8821154810516512,0.8821548821548821,65 nutrients
KNN,0.830465652818594,0.6265484852466415,0.8316498316498316,0.8318276904217579,0.8316498316498316,65 nutrients
DecisionTree,0.8608745575656856,0.6955073101376958,0.8619528619528619,0.8629071331002928,0.8619528619528619,65 nutrients
LogisticRegression,0.8073286707301953,0.601422454523624,0.8316498316498316,0.8286728584462432,0.8316498316498316,65 nutrients
SVM,0.7514395725602622,0.4752489413765576,0.7895622895622896,0.7782621575315047,0.7895622895622896,65 nutrients
AdaBoost,0.7836740051066863,0.5200437506767325,0.7946127946127947,0.780306377309085,0.7946127946127947,65 nutrients
NaiveBayes,0.5316263483973646,0.3226069585623917,0.4663299663299663,0.7979786548434953,0.4663299663299663,65 nutrients
LightGBM,0.9221407085472928,0.830613742752019,0.9242424242424242,0.9221791776740652,0.9242424242424242,102 nutrients
GradientBoost,0.9014410422311164,0.7832135241793385,0.904040404040404,0.9018222518222516,0.904040404040404,102 nutrients
RandomForest,0.8969837571746756,0.7758266285251334,0.9006734006734006,0.8962252146744126,0.9006734006734006,102 nutrients
XGBoost,0.9241784107204668,0.8348740737822499,0.925925925925926,0.9237526817385197,0.925925925925926,102 nutrients
ExtraTrees,0.900075686755511,0.7826518746254022,0.904040404040404,0.8994820185647227,0.904040404040404,102 nutrients
MLP,0.8786988495557572,0.7342413416274447,0.8787878787878788,0.8798815577330028,0.8787878787878788,102 nutrients
KNN,0.8294077279950978,0.6234585303903001,0.835016835016835,0.82977484960659,0.835016835016835,102 nutrients
DecisionTree,0.8641702746203128,0.7027682837093233,0.8653198653198653,0.8655948241806828,0.8653198653198653,102 nutrients
LogisticRegression,0.8173070074054254,0.6130724076534951,0.8367003367003367,0.8305778760548445,0.8367003367003367,102 nutrients
SVM,0.7608696397178351,0.4975946723727238,0.797979797979798,0.7877611912965449,0.797979797979798,102 nutrients
AdaBoost,0.7447055818949666,0.4256772959416222,0.7525252525252525,0.7418351459096257,0.7525252525252525,102 nutrients
NaiveBayes,0.5881608065660737,0.352121427903348,0.5168350168350169,0.8139922135584682,0.5168350168350169,102 nutrients
LightGBM,0.9133429626253442,0.8105401926310862,0.915824915824916,0.9128688594115127,0.915824915824916,FDA nutrients
GradientBoost,0.8938934148492644,0.7678036851602199,0.8973063973063973,0.8928851063695165,0.8973063973063973,FDA nutrients
RandomForest,0.90583333112046,0.7946171992060295,0.9090909090909092,0.9058599372807024,0.9090909090909092,FDA nutrients
XGBoost,0.9064191357307548,0.7955767392438562,0.9090909090909092,0.9056400466602524,0.9090909090909092,FDA nutrients
ExtraTrees,0.9089510052082554,0.8025241364765012,0.9124579124579124,0.909047946328648,0.9124579124579124,FDA nutrients
MLP,0.8758999164266943,0.7280430244358688,0.877104377104377,0.8749053743795343,0.877104377104377,FDA nutrients
KNN,0.8717595375873961,0.7186918121722404,0.8703703703703703,0.874996999287051,0.8703703703703703,FDA nutrients
DecisionTree,0.8629717129232936,0.7000873223377982,0.8636363636363636,0.8631332100923733,0.8636363636363636,FDA nutrients
LogisticRegression,0.7359320695999584,0.4479651819651369,0.7811447811447811,0.7735074350968134,0.7811447811447811,FDA nutrients
SVM,0.788159901096337,0.5486213625570521,0.8148148148148148,0.8020860334929999,0.8148148148148148,FDA nutrients
AdaBoost,0.737840414584074,0.4361803001363362,0.7727272727272727,0.733355161869218,0.7727272727272727,FDA nutrients
NaiveBayes,0.5778747793322675,0.3394034751405524,0.5387205387205387,0.744687371417228,0.5387205387205387,FDA nutrients
