Dataset,CV_Variant,Model,Accuracy,F1,Precision,Recall,MCC
102_Nutrients,SMOTE,AdaBoost,0.7747474747474747,0.792541183615555,0.8378912349438602,0.7747474747474747,0.5976186318322052
102_Nutrients,SMOTE+Stratified,AdaBoost,0.7855218855218855,0.8022930481234158,0.8459536500265307,0.7855218855218855,0.6178318481210587
102_Nutrients,Stratified,AdaBoost,0.8353535353535355,0.8235230346696941,0.8297458192702791,0.8353535353535355,0.6113593003350656
102_Nutrients,SMOTE,DecisionTree,0.8484848484848484,0.8546835816184609,0.8673812626729298,0.8484848484848484,0.6926198666041437
102_Nutrients,SMOTE+Stratified,DecisionTree,0.8353535353535353,0.8426614955606471,0.8578365317059726,0.8353535353535353,0.6701788217892161
102_Nutrients,Stratified,DecisionTree,0.8592592592592594,0.8612681130745168,0.8657557550688113,0.8592592592592594,0.7003645772675748
102_Nutrients,SMOTE,ExtraTrees,0.8993265993265993,0.9002713213092637,0.9030547544127525,0.8993265993265993,0.7819058904022491
102_Nutrients,SMOTE+Stratified,ExtraTrees,0.9057239057239057,0.9065928802505407,0.9100472499908137,0.9057239057239057,0.7975652572340252
102_Nutrients,Stratified,ExtraTrees,0.9094276094276095,0.9055251462249261,0.9080488465460451,0.9094276094276095,0.7945459340055208
102_Nutrients,SMOTE,GradientBoosting,0.9239057239057239,0.9236486816351548,0.9255140906474132,0.9239057239057239,0.833363725672162
102_Nutrients,SMOTE+Stratified,GradientBoosting,0.9225589225589225,0.9226143057242746,0.9250147551798488,0.9225589225589225,0.8323015030721967
102_Nutrients,Stratified,GradientBoosting,0.9262626262626263,0.9242583008736911,0.9259202365146608,0.9262626262626263,0.8350305898486301
102_Nutrients,SMOTE,KNN,0.8346801346801346,0.8429706843796263,0.8605558622591574,0.8346801346801346,0.6732204203647505
102_Nutrients,SMOTE+Stratified,KNN,0.8400673400673402,0.8484054020942491,0.8661353476433389,0.8400673400673402,0.6857135692334724
102_Nutrients,Stratified,KNN,0.87003367003367,0.8681774336866805,0.8694636981876543,0.87003367003367,0.7102991272283774
102_Nutrients,SMOTE,LightGBM,0.9265993265993266,0.9270046461642787,0.9291806194628863,0.9265993265993266,0.8404019698421941
102_Nutrients,SMOTE+Stratified,LightGBM,0.9252525252525252,0.925381799894622,0.9274805126686949,0.9252525252525252,0.838221641552313
102_Nutrients,Stratified,LightGBM,0.9319865319865318,0.9308073640930401,0.9316308361209815,0.9319865319865318,0.8488453153248792
102_Nutrients,SMOTE,LogisticRegression,0.7619528619528619,0.7841048658289272,0.8404269643240779,0.7619528619528619,0.588133425354
102_Nutrients,SMOTE+Stratified,LogisticRegression,0.755892255892256,0.7775758393244989,0.8374167009894297,0.755892255892256,0.583349414818172
102_Nutrients,Stratified,LogisticRegression,0.8387205387205388,0.8272877524407237,0.8294271777288926,0.8387205387205388,0.6242184187016866
102_Nutrients,SMOTE,MLP,0.8441077441077441,0.8502345276673227,0.8642280710293502,0.8441077441077441,0.6848856583331946
102_Nutrients,SMOTE+Stratified,MLP,0.8484848484848486,0.8544102549250384,0.8673927944529604,0.8484848484848486,0.6945825724258049
102_Nutrients,Stratified,MLP,0.837037037037037,0.8319880193432017,0.8375188967866404,0.837037037037037,0.6353689733608127
102_Nutrients,SMOTE,NaiveBayes,0.5478114478114477,0.6158918681983208,0.8130284860226222,0.5478114478114477,0.3680617365840914
102_Nutrients,SMOTE+Stratified,NaiveBayes,0.5494949494949496,0.6155216513936017,0.8121489439821655,0.5494949494949496,0.37477949030942154
102_Nutrients,Stratified,NaiveBayes,0.5447811447811448,0.6173406199284824,0.8169157912315692,0.5447811447811448,0.36839758585277943
102_Nutrients,SMOTE,RandomForest,0.9107744107744107,0.910896524898804,0.9134646942110377,0.9107744107744107,0.8060242602996066
102_Nutrients,SMOTE+Stratified,RandomForest,0.9161616161616163,0.9163120914193581,0.9181662601715999,0.9161616161616163,0.8182050161659749
102_Nutrients,Stratified,RandomForest,0.9181818181818182,0.9155791569952969,0.9169638728328978,0.9181818181818182,0.8159722920567527
102_Nutrients,SMOTE,SVM,0.598989898989899,0.6429856165697956,0.7953123199984405,0.598989898989899,0.4202802391263886
102_Nutrients,SMOTE+Stratified,SVM,0.5979797979797981,0.6403176418347194,0.792393195624083,0.5979797979797981,0.41994328901452843
102_Nutrients,Stratified,SVM,0.7521885521885523,0.6891791269338945,0.731333799050582,0.7521885521885523,0.33389821708647166
102_Nutrients,SMOTE,xgb,0.9195286195286195,0.9201025157066154,0.9228521460717503,0.9195286195286195,0.8257682910380856
102_Nutrients,SMOTE+Stratified,xgb,0.9202020202020202,0.9208067028228613,0.9234085074935209,0.9202020202020202,0.8289080127938542
102_Nutrients,Stratified,xgb,0.9255892255892256,0.9237564539740053,0.9249394644300608,0.9255892255892256,0.8337937142503714
65_Nutrients,SMOTE,AdaBoost,0.7744107744107744,0.792499797115628,0.8383650204841722,0.7744107744107744,0.5974851079991429
65_Nutrients,SMOTE+Stratified,AdaBoost,0.7838383838383838,0.8009016202684132,0.84430203125886,0.7838383838383838,0.6136609020944277
65_Nutrients,Stratified,AdaBoost,0.8350168350168351,0.824043144820496,0.8277364701172981,0.8350168350168351,0.6117174799230563
65_Nutrients,SMOTE,DecisionTree,0.8441077441077441,0.8524290586484329,0.8691980639202681,0.8441077441077441,0.6895949277025615
65_Nutrients,SMOTE+Stratified,DecisionTree,0.8430976430976431,0.8493288084576518,0.8612855785514985,0.8430976430976431,0.6810662295727067
65_Nutrients,Stratified,DecisionTree,0.8565656565656565,0.8581717630700899,0.8624821656019274,0.8565656565656565,0.6938008282510033
65_Nutrients,SMOTE,ExtraTrees,0.9057239057239057,0.9073828615139459,0.9108283394782241,0.9057239057239057,0.7978545356282241
65_Nutrients,SMOTE+Stratified,ExtraTrees,0.9080808080808082,0.9091521966633168,0.9131096287529861,0.9080808080808082,0.804139566178397
65_Nutrients,Stratified,ExtraTrees,0.9131313131313131,0.9099096239175296,0.9116838650150754,0.9131313131313131,0.8036008513259791
65_Nutrients,SMOTE,GradientBoosting,0.9212121212121211,0.9210051025651353,0.9230856256795399,0.9212121212121211,0.8282732212938079
65_Nutrients,SMOTE+Stratified,GradientBoosting,0.9228956228956229,0.9227970663792056,0.924960707469691,0.9228956228956229,0.8330616178079993
65_Nutrients,Stratified,GradientBoosting,0.9262626262626263,0.9242149895782512,0.9255390930004921,0.9262626262626263,0.8344651919323484
65_Nutrients,SMOTE,KNN,0.84006734006734,0.8476656647643962,0.86400796391025,0.84006734006734,0.6825024316598898
65_Nutrients,SMOTE+Stratified,KNN,0.8417508417508417,0.8498352130466854,0.8670728434975679,0.8417508417508417,0.6888026745995125
65_Nutrients,Stratified,KNN,0.8747474747474747,0.8729322092676794,0.8736055093667046,0.8747474747474747,0.7208541047151157
65_Nutrients,SMOTE,LightGBM,0.9262626262626261,0.9264431255386576,0.9286455230011585,0.9262626262626261,0.8396865113729431
65_Nutrients,SMOTE+Stratified,LightGBM,0.9249158249158251,0.9251418663157981,0.9271405629487429,0.9249158249158251,0.8377236268760866
65_Nutrients,Stratified,LightGBM,0.9286195286195287,0.9271942866771699,0.9282731793678973,0.9286195286195287,0.8414126918890583
65_Nutrients,SMOTE,LogisticRegression,0.7437710437710436,0.7676406852053015,0.8340683161735563,0.7437710437710436,0.5695139345321711
65_Nutrients,SMOTE+Stratified,LogisticRegression,0.7373737373737373,0.761732434254698,0.8303657024762611,0.7373737373737373,0.5616908806868434
65_Nutrients,Stratified,LogisticRegression,0.8245791245791245,0.8098029778393216,0.813398907714584,0.8245791245791245,0.588469980213741
65_Nutrients,SMOTE,MLP,0.8457912457912459,0.8519295602057054,0.8660833787076662,0.8457912457912459,0.6900197620873287
65_Nutrients,SMOTE+Stratified,MLP,0.8582491582491583,0.8631704617883743,0.8745959955122441,0.8582491582491583,0.7127434626654806
65_Nutrients,Stratified,MLP,0.8215488215488215,0.817516228157924,0.8218440528456867,0.8215488215488215,0.6038786349349682
65_Nutrients,SMOTE,NaiveBayes,0.5215488215488217,0.578876019356775,0.7840260977779953,0.5215488215488217,0.34507788729320354
65_Nutrients,SMOTE+Stratified,NaiveBayes,0.5252525252525253,0.5810412055869865,0.7876441925599724,0.5252525252525253,0.35358043428199026
65_Nutrients,Stratified,NaiveBayes,0.5228956228956229,0.574075318250809,0.7913208239364119,0.5228956228956229,0.35597229095722577
65_Nutrients,SMOTE,RandomForest,0.914141414141414,0.9143325003798022,0.9168839854518819,0.914141414141414,0.8137325606534394
65_Nutrients,SMOTE+Stratified,RandomForest,0.9181818181818183,0.9182487749025613,0.9201900414754254,0.9181818181818183,0.8227238546046998
65_Nutrients,Stratified,RandomForest,0.9168350168350168,0.914390457710234,0.9151627248478793,0.9168350168350168,0.8129063449915975
65_Nutrients,SMOTE,SVM,0.5996632996632997,0.6434074188836899,0.7956691652482912,0.5996632996632997,0.4211740411266992
65_Nutrients,SMOTE+Stratified,SVM,0.5986531986531987,0.6407503995232038,0.7926856218532907,0.5986531986531987,0.4206224984936962
65_Nutrients,Stratified,SVM,0.7521885521885522,0.6893753715105415,0.7314530467484447,0.7521885521885522,0.334366319958571
65_Nutrients,SMOTE,xgb,0.9232323232323232,0.9237053113878201,0.9265617960816263,0.9232323232323232,0.8336774115330758
65_Nutrients,SMOTE+Stratified,xgb,0.9205387205387205,0.9209731458122645,0.9233165670526704,0.9205387205387205,0.8289711177271342
65_Nutrients,Stratified,xgb,0.9276094276094276,0.9259341383401931,0.9268865676367627,0.9276094276094276,0.8385211533040866
FDA_Nutrients,SMOTE,AdaBoost,0.7683501683501683,0.7870997313468712,0.8324777513662814,0.7683501683501683,0.585571574230854
FDA_Nutrients,SMOTE+Stratified,AdaBoost,0.764983164983165,0.7837401414853742,0.8291506018823469,0.764983164983165,0.5809820970504057
FDA_Nutrients,Stratified,AdaBoost,0.8363636363636363,0.8266387597484446,0.8293103236488435,0.8363636363636363,0.6173757233413992
FDA_Nutrients,SMOTE,DecisionTree,0.8461279461279462,0.8538159816305508,0.8699258262419999,0.8461279461279462,0.6927554948969771
FDA_Nutrients,SMOTE+Stratified,DecisionTree,0.8505050505050505,0.8570144703441928,0.870502980942895,0.8505050505050505,0.7010277965679905
FDA_Nutrients,Stratified,DecisionTree,0.8703703703703705,0.8716033540199088,0.8746165238364572,0.8703703703703705,0.7214524494514682
FDA_Nutrients,SMOTE,ExtraTrees,0.9023569023569025,0.9053317475353568,0.9114877510823078,0.9023569023569025,0.7956779412853702
FDA_Nutrients,SMOTE+Stratified,ExtraTrees,0.9074074074074074,0.9092499156127964,0.9143385689051812,0.9074074074074074,0.8053189208015246
FDA_Nutrients,Stratified,ExtraTrees,0.9117845117845118,0.9084859644644435,0.9101583679775705,0.9117845117845118,0.8002996957673194
FDA_Nutrients,SMOTE,GradientBoosting,0.9087542087542086,0.909729060987041,0.912329908098178,0.9087542087542086,0.803679882026648
FDA_Nutrients,SMOTE+Stratified,GradientBoosting,0.9114478114478116,0.9121007143782727,0.9143316252751166,0.9114478114478116,0.8093977783716954
FDA_Nutrients,Stratified,GradientBoosting,0.9175084175084175,0.9153614893361999,0.9163304253686281,0.9175084175084175,0.8150422125538554
FDA_Nutrients,SMOTE,KNN,0.836026936026936,0.8455063039523945,0.8650989060540656,0.836026936026936,0.6780194019994422
FDA_Nutrients,SMOTE+Stratified,KNN,0.831986531986532,0.84030831912004,0.8581213718222342,0.831986531986532,0.6689005605791504
FDA_Nutrients,Stratified,KNN,0.8734006734006735,0.8711424465145425,0.8714305732541918,0.8734006734006735,0.7176764056415651
FDA_Nutrients,SMOTE,LightGBM,0.9111111111111111,0.9126425799683142,0.9158955061245768,0.9111111111111111,0.8102857500576869
FDA_Nutrients,SMOTE+Stratified,LightGBM,0.9141414141414141,0.915001737876727,0.9176535860387446,0.9141414141414141,0.8152230648356953
FDA_Nutrients,Stratified,LightGBM,0.9242424242424242,0.9227759458092996,0.9236719047001705,0.9242424242424242,0.8312389013549032
FDA_Nutrients,SMOTE,LogisticRegression,0.6208754208754208,0.6591364091332923,0.785140057887919,0.6208754208754208,0.423276564402941
FDA_Nutrients,SMOTE+Stratified,LogisticRegression,0.6168350168350167,0.6546064467849803,0.7832603799160196,0.6168350168350167,0.421148815587277
FDA_Nutrients,Stratified,LogisticRegression,0.7956228956228956,0.7629137077361554,0.7848632151305088,0.7956228956228956,0.4950225301808796
FDA_Nutrients,SMOTE,MLP,0.8010101010101011,0.8150580241495602,0.8476560383387781,0.8010101010101011,0.6272872106621922
FDA_Nutrients,SMOTE+Stratified,MLP,0.793939393939394,0.8078854501098858,0.8412889647937224,0.793939393939394,0.6176888540598047
FDA_Nutrients,Stratified,MLP,0.7962962962962963,0.786293357122402,0.7878186723146292,0.7962962962962963,0.530389389431682
FDA_Nutrients,SMOTE,NaiveBayes,0.4417508417508418,0.48438717231865064,0.7307136781811036,0.4417508417508418,0.26160635503591434
FDA_Nutrients,SMOTE+Stratified,NaiveBayes,0.4444444444444445,0.48570849058268645,0.7290461176253185,0.4444444444444445,0.265165625604426
FDA_Nutrients,Stratified,NaiveBayes,0.5663299663299664,0.6075344380595357,0.7465894931941899,0.5663299663299664,0.3461658826879677
FDA_Nutrients,SMOTE,RandomForest,0.9087542087542086,0.9103056623089228,0.9139697761850959,0.9087542087542086,0.8053240352514347
FDA_Nutrients,SMOTE+Stratified,RandomForest,0.9104377104377106,0.911760123177722,0.9159457521117454,0.9104377104377106,0.809774324124542
FDA_Nutrients,Stratified,RandomForest,0.9164983164983165,0.9143803329657871,0.9151863837552723,0.9164983164983165,0.8134257125353974
FDA_Nutrients,SMOTE,SVM,0.6457912457912457,0.6822254883792274,0.8035504533383643,0.6457912457912457,0.46540614044806616
FDA_Nutrients,SMOTE+Stratified,SVM,0.6521885521885522,0.6874007217329644,0.8031777771705629,0.6521885521885522,0.47095425169715943
FDA_Nutrients,Stratified,SVM,0.7821548821548822,0.7293222294985859,0.7828799626715353,0.7821548821548822,0.45063541187310285
FDA_Nutrients,SMOTE,xgb,0.9114478114478114,0.9131515112943711,0.9168316173236407,0.9114478114478114,0.8113663127459043
FDA_Nutrients,SMOTE+Stratified,xgb,0.9117845117845118,0.9129338501272978,0.9160936957604037,0.9117845117845118,0.8115090380545814
FDA_Nutrients,Stratified,xgb,0.9188552188552188,0.9169794879046849,0.9175721838500948,0.9188552188552188,0.8186961788217237
