Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,novaclass
1.03,4.38,6.89,6.89,0.0,32.0,0.03,17.0,0.1,14.0,2.009,51.0,70.0,1
3.28,1.91,4.85,5.08,0.0,119.0,0.03,44.0,1.2,7.0,1.154,142.0,50.0,1
3.15,3.25,4.8,5.05,0.0,113.0,0.03,43.0,1.3,10.0,1.865,132.0,61.0,1
3.1,3.46,4.46,4.46,0.0,101.0,0.05,3.0,1.3,14.0,2.154,253.0,61.0,1
3.14,3.24,4.79,5.04,0.0,412.0,0.03,43.0,1.3,10.0,1.859,132.0,61.0,1
3.37,0.97,4.99,5.2,0.0,225.0,0.03,44.0,1.2,5.0,0.632,150.0,42.0,1
3.4,0.18,4.85,4.85,0.0,204.0,0.04,52.0,1.2,2.0,0.117,166.0,35.0,1
3.3,1.98,4.8,5.06,0.0,120.0,0.02,47.0,1.2,8.0,1.257,140.0,50.0,1
3.37,0.97,4.99,5.2,0.0,125.0,0.03,44.0,1.2,5.0,0.633,150.0,42.0,1
3.3,1.98,4.8,5.06,0.0,120.0,0.02,47.0,1.2,8.0,1.257,140.0,50.0,1
3.37,0.97,4.99,5.2,0.0,125.0,0.03,44.0,1.2,5.0,0.633,150.0,42.0,1
3.37,0.08,4.96,5.09,0.0,122.0,0.03,42.0,1.2,2.0,0.056,156.0,34.0,1
3.33,3.4,4.74,4.74,0.0,128.0,0.05,57.0,0.0,2.0,3.101,139.0,63.0,1
3.33,3.4,4.74,4.74,0.0,128.0,0.05,57.0,0.0,2.0,3.101,139.0,63.0,1
3.41,1.08,4.91,4.91,0.0,121.0,0.03,53.0,0.0,2.0,0.916,170.0,43.0,1
3.37,0.97,4.99,5.2,0.0,125.0,0.03,44.0,1.2,5.0,0.633,150.0,42.0,1
3.37,0.97,4.99,5.2,0.0,225.0,0.03,44.0,1.2,5.0,0.632,150.0,42.0,1
3.37,0.08,4.96,5.09,0.0,122.0,0.03,42.0,1.2,2.0,0.056,156.0,34.0,1
3.4,0.18,4.85,4.85,0.0,204.0,0.04,52.0,1.2,2.0,0.117,166.0,35.0,1
3.3,1.98,4.8,5.06,0.0,120.0,0.02,47.0,1.2,8.0,1.257,140.0,50.0,1
3.15,3.25,4.8,5.05,0.0,113.0,0.03,43.0,1.3,10.0,1.865,132.0,61.0,1
3.31,0.88,4.79,4.79,0.0,116.0,0.05,105.0,0.0,4.0,0.548,151.0,40.0,1
3.31,0.88,4.79,4.79,0.0,116.0,0.05,105.0,0.0,4.0,0.548,151.0,40.0,1
4.1,2.0,5.3,5.3,0.0,143.0,0.06,105.0,0.0,8.0,1.242,180.0,56.0,1
3.21,3.31,4.88,4.88,0.0,115.0,0.03,105.0,1.3,11.0,1.899,135.0,62.0,1
3.56,4.14,4.45,4.45,0.0,134.0,0.05,50.0,1.3,11.0,2.667,204.0,69.0,1
3.26,0.07,4.85,4.85,0.0,117.0,0.03,55.0,1.0,2.0,0.043,158.0,33.0,1
3.24,3.29,4.73,4.73,0.0,115.0,0.06,49.0,1.3,12.0,2.06,164.0,61.0,1
3.26,0.17,4.85,4.85,0.0,117.0,0.03,55.0,1.0,2.0,0.105,158.0,34.0,1
3.26,0.07,4.85,4.85,0.0,117.0,0.03,55.0,1.0,2.0,0.043,158.0,33.0,1
3.36,0.57,4.8,4.8,0.0,119.0,0.03,54.0,0.0,7.0,0.352,156.0,38.0,1
6.81,7.56,10.04,10.04,0.0,261.0,0.19,106.0,2.0,29.0,4.591,303.0,134.0,2
6.81,7.56,10.04,10.04,0.0,261.0,0.19,106.0,2.0,29.0,4.591,303.0,134.0,2
7.42,1.96,11.15,11.15,0.0,285.0,0.28,113.0,2.0,8.0,1.214,326.0,92.0,2
7.55,0.2,11.35,11.35,0.0,290.0,0.29,115.0,2.0,4.0,0.121,332.0,78.0,2
7.91,8.7,54.4,54.4,0.0,284.0,0.19,127.0,0.2,34.0,5.486,371.0,321.0,3
2.63,1.48,4.99,3.67,0.2,118.0,0.43,47.0,1.0,0.0,0.205,122.0,44.0,4
2.38,0.77,3.51,2.61,0.3,123.0,0.43,48.0,1.2,0.0,0.005,117.0,30.0,4
2.47,0.04,4.14,3.65,0.2,116.0,0.35,57.0,1.0,0.0,0.0,105.0,28.0,4
2.26,1.53,9.95,7.86,0.4,121.0,0.48,53.0,1.0,0.0,0.24,143.0,63.0,4
2.1,0.64,8.24,7.13,0.7,123.0,0.59,46.0,1.2,0.0,0.032,144.0,47.0,4
2.47,0.04,8.51,3.65,0.2,116.0,0.35,57.0,1.0,0.0,0.0,105.0,44.0,4
1.6,2.0,5.3,5.3,0.0,82.0,0.1,55.0,1.1,0.0,0.254,150.0,46.0,4
3.98,1.15,18.64,18.64,0.0,138.0,0.06,53.0,0.6,5.0,0.742,177.0,99.0,4
5.25,1.55,7.04,7.04,0.0,183.0,0.08,70.0,0.0,6.0,1.0,234.0,63.0,1
3.47,3.25,4.66,4.66,0.0,121.0,0.05,46.0,0.1,13.0,2.096,155.0,61.0,1
5.25,1.55,7.04,7.04,0.0,183.0,0.08,70.0,0.0,6.0,1.0,234.0,63.0,1
5.73,0.18,7.68,7.68,0.0,199.0,0.09,77.0,0.0,2.0,0.116,255.0,56.0,1
4.93,1.25,13.8,13.8,0.0,171.0,0.07,66.0,0.6,5.0,0.806,219.0,85.0,4
4.84,3.14,13.54,13.54,0.0,168.0,0.07,65.0,0.6,10.0,1.981,215.0,100.0,4
4.93,1.25,13.8,13.8,0.0,171.0,0.07,66.0,0.6,5.0,0.806,219.0,85.0,4
4.93,1.25,13.8,5.43,0.0,171.0,0.07,66.0,0.0,5.0,0.752,219.0,86.0,4
4.24,0.16,16.46,16.44,0.0,152.0,0.1,61.0,0.6,2.0,0.105,192.0,81.0,4
3.86,0.18,7.5,7.5,0.0,143.0,0.12,59.0,0.6,2.0,0.116,177.0,43.0,4
3.53,0.0,23.53,14.97,1.2,88.0,0.42,135.0,0.6,1.0,0.0,339.0,112.0,4
3.43,3.08,22.8,14.51,1.2,85.0,0.41,131.0,0.6,9.0,1.917,329.0,136.0,4
3.53,0.0,23.53,14.97,1.2,88.0,0.42,135.0,0.6,1.0,0.0,339.0,112.0,4
4.37,1.08,19.05,19.05,0.0,152.0,0.07,58.0,0.6,4.0,0.697,195.0,102.0,4
4.28,3.2,18.64,18.64,0.0,149.0,0.07,57.0,0.7,9.0,2.015,191.0,119.0,4
4.37,1.08,19.05,19.05,0.0,152.0,0.07,58.0,0.6,4.0,0.697,195.0,102.0,4
4.86,1.41,18.6,2.9,0.0,152.0,0.07,58.0,0.6,6.0,0.909,194.0,105.0,4
4.4,0.2,19.0,19.0,0.0,152.0,0.07,58.0,0.6,2.0,0.119,194.0,95.0,4
3.74,0.17,7.88,6.97,0.4,134.0,0.24,53.0,0.6,2.0,0.094,195.0,45.0,4
4.49,2.91,18.92,18.66,0.2,150.0,0.13,56.0,0.6,4.0,0.839,201.0,117.0,4
4.49,2.91,18.92,18.66,0.2,150.0,0.13,56.0,0.6,4.0,0.839,201.0,117.0,4
3.36,1.01,15.86,11.68,1.1,105.0,0.49,49.0,0.1,3.0,0.525,189.0,84.0,4
4.62,1.44,21.14,20.53,0.3,156.0,0.24,59.0,0.0,5.0,0.924,224.0,112.0,4
3.0,3.6,21.6,19.92,0.0,100.0,0.46,63.0,0.1,13.0,2.326,156.0,127.0,4
