word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,REMARK,biobert_cluster,umap_x,umap_y
deflate,shape change,shape change,release trapped air,collapse after rising,remove gas from mixture,deflate whipped egg whites gently,,shape change release trapped air collapse after rising remove gas from mixture,2,shape change,1.0,deflate,shape change,14,8.807218,7.5582576
stream,action,continuous action,pour in a steady flow,add liquid continuously,let liquid run smoothly,stream oil into dressing,,continuous action pour in a steady flow add liquid continuously let liquid run smoothly,5,action,1.0,stream,action,14,9.643504,8.123057
rise,shape change,shape change,increase in size,expand due to gas,dough grows larger,dough rises before baking,,shape change increase in size expand due to gas dough grows larger,2,shape change,1.0,rise,shape change,14,8.654726,7.465579
foam,forming foam,form bubble,mass of bubbles,light airy texture,bubbles formed by whisking,milk foam on coffee,,form bubble mass of bubbles light airy texture bubbles formed by whisking,2,bubble formation,0.5773502691896257,foam,forming foam,14,8.427296,7.1783915
rising,shape change,shape change,dough expansion,increase in size,gas causes growth,dough rising before baking,,shape change dough expansion increase in size gas causes growth,2,shape change,1.0,rising,shape change,14,8.529074,7.249513
bubbling,bubble formation,bubble formation,form bubbles,boiling action,release gas while cooking,sauce bubbling gently,,bubble formation form bubbles boiling action release gas while cooking,2,bubble formation,1.0,bubbling,bubble formation,14,8.40676,7.180254
soak,add water,add water,submerge in liquid,allow absorption,hydrate ingredient,soak beans overnight,,add water submerge in liquid allow absorption hydrate ingredient,5,add water,1.0,soak,add water,14,9.420208,8.111075
drip,reduce water,remove liquid,let liquid fall slowly,allow excess liquid to drop,drain lightly,let oil drip off food,,remove liquid let liquid fall slowly allow excess liquid to drop drain lightly,5,liquid leftover,0.408248290463863,drip,reduce water,14,9.610768,8.185192
submerge,add water,add water,put completely under liquid,cover fully with liquid,immerse ingredient,submerge pasta in boiling water,,add water put completely under liquid cover fully with liquid immerse ingredient,5,add water,1.0,submerge,add water,14,10.074085,8.084786
immerse,add water,add water,place fully in liquid,submerge completely,soak entirely,immerse vegetables in ice bath,,add water place fully in liquid submerge completely soak entirely,5,add water,1.0,immerse,add water,14,9.191409,8.190112
dissolve,add water,mix in water,blend into liquid fully,disappear into liquid,combine completely,dissolve sugar in water,,mix in water blend into liquid fully disappear into liquid combine completely,5,water cooking,0.5454499149998363,dissolve,add water,14,9.035407,7.9955106
bubble,bubble formation,form bubble,form bubbles,boil gently,release gas,mixture bubbles while heating,,form bubble form bubbles boil gently release gas,2,bubble formation,0.5773502691896257,bubble,bubble formation,14,8.458158,7.1091886
pop,many meaning,many meaning,burst open suddenly,expand and open with heat,release steam,pop popcorn,,many meaning burst open suddenly expand and open with heat release steam,5,many meaning,1.0,pop,many meaning,14,8.670615,7.28817
reduce,reduce water,remove water,simmer to thicken,evaporate excess liquid,concentrate flavor,reduce sauce,,remove water simmer to thicken evaporate excess liquid concentrate flavor,5,remove unwanted item,0.3586231983895778,reduce,reduce water,14,9.826408,8.016274
melt,shape change,shape change,change solid to liquid,heat until liquid,softening with heat,melt butter,,shape change change solid to liquid heat until liquid softening with heat,5,shape change,1.0,melt,shape change,14,8.638285,7.6548133
dip,action,action,immerse briefly in liquid,soak partially,cover surface quickly,dip strawberries in chocolate,,action immerse briefly in liquid soak partially cover surface quickly,5,action,1.0,dip,action,14,9.952681,7.9753585
pour,action,action,transfer liquid,flow into container,add ingredient,pour batter into pan,,action transfer liquid flow into container add ingredient,5,action,1.0,pour,action,14,9.510802,8.063945
