word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y,cookbert_cluster,cookbert_umap_x,cookbert_umap_y
overmix,mixing,mix more,mix too much,work ingredients excessively,overwork batter or dough,overmixing makes cake tough,,mix more mix too much work ingredients excessively overwork batter or dough,4,more cooking,0.6233913715788008,overmix,25,4.5016637,3.1694736,24,11.132142,4.6388307
scramble,mixing,mix eggs,stir while cooking,quickly mix eggs while heating,cook eggs with stirring,scramble eggs in pan,,mix eggs stir while cooking quickly mix eggs while heating cook eggs with stirring,4,sound,0.0,scramble,16,3.3512473,3.39736,24,10.008385,5.4768205
steep,flavoring,flavor change,soak in hot liquid,extract flavor over time,infuse liquid,steep tea or spices,,flavor change soak in hot liquid extract flavor over time infuse liquid,5,shape change,0.5773502691896257,steep,15,4.751794,1.6245284,24,11.702616,5.7116976
marinate,flavoring,flavor change,soak in seasoned liquid,flavor before cooking,tenderize with marinade,marinate chicken overnight,,flavor change soak in seasoned liquid flavor before cooking tenderize with marinade,5,shape change,0.5773502691896257,marinate,15,4.4366326,1.8464004,24,11.876367,5.5149407
overcook,more cooking,cook extra,cook too long,exceed ideal doneness,ruin texture or flavor,overcooked pasta,,cook extra cook too long exceed ideal doneness ruin texture or flavor,5,sound,0.0,overcook,24,3.9885101,3.2916844,24,11.377715,5.028252
massage,flavoring,flavor change,rub gently by hand,work ingredients softly,change texture by rubbing,massage kale with oil,,flavor change rub gently by hand work ingredients softly change texture by rubbing,2,shape change,0.5773502691896257,massage,19,5.5841126,3.4999835,24,10.457293,4.732406
muddle,mixing,mixing items,crush gently,press to release flavors,lightly mash ingredients,muddle mint for drinks,,mixing items crush gently press to release flavors lightly mash ingredients,5,mixing,0.7071067811865476,muddle,21,7.7117615,2.6111202,24,10.278032,4.6872487
deglaze,light cooking,light heat,loosen browned bits,dissolve pan residue with liquid,create sauce from drippings,deglaze pan with wine,,light heat loosen browned bits dissolve pan residue with liquid create sauce from drippings,5,light cooking,0.4408042661765528,deglaze,14,3.7813382,2.0625286,24,11.3676405,4.8949776
baste,add water,add water,moisten during cooking,spoon liquid over food,add flavor and moisture,baste roast chicken,,add water moisten during cooking spoon liquid over food add flavor and moisture,5,add water,1.0,baste,15,4.783422,1.8414806,24,11.41463,4.705763
flavoring,flavoring,flavour,ingredient adding taste,seasoning component,enhance flavor,add flavoring to soup,,flavour ingredient adding taste seasoning component enhance flavor,5,sound,0.0,flavoring,15,4.7296505,2.0524578,24,11.62449,5.8041744
dressing,flavoring,add flavor,seasoned sauce for food,mixture for salads,flavoring liquid,add dressing to salad,,add flavor seasoned sauce for food mixture for salads flavoring liquid,5,add water,0.5687180842966731,dressing,15,4.4012327,2.147214,24,11.652193,5.646726
sieve,filtering,filtering particles,strain dry or wet ingredients,separate fine particles,refine texture,sieve flour,,filtering particles strain dry or wet ingredients separate fine particles refine texture,3,filtering,1.0,sieve,23,6.486189,2.7744176,24,10.346535,4.2166305
sift,utensils,tool,pass through sieve,aerate dry ingredients,remove lumps,sift flour,,tool pass through sieve aerate dry ingredients remove lumps,3,sound,0.0,sift,23,6.2091036,3.0357974,24,10.271856,4.113206
smoke,flavoring,add flavor,cook using smoke,flavor with burning wood,preserve and flavor,smoke fish,,add flavor cook using smoke flavor with burning wood preserve and flavor,5,add water,0.5687180842966731,smoke,15,4.2295537,2.0310254,24,11.790096,5.5890007
marinade,flavoring,add flavor,seasoned soaking liquid,flavoring mixture,tenderizing liquid,prepare a marinade,,add flavor seasoned soaking liquid flavoring mixture tenderizing liquid,5,add water,0.5687180842966731,marinade,15,4.4351134,1.7949417,24,11.743185,5.676497
dissolve,add water,mix in water,blend into liquid fully,disappear into liquid,combine completely,dissolve sugar in water,,mix in water blend into liquid fully disappear into liquid combine completely,5,water cooking,0.5454499149998363,dissolve,21,7.701624,1.9548837,24,9.6668825,5.7689977
blitz,cutting,cut item heavily,process quickly in blender,puree rapidly,blend at high speed,blitz soup,,cut item heavily process quickly in blender puree rapidly blend at high speed,2,item,1.0,blitz,23,7.712166,2.2374687,24,9.728977,5.638859
meld,flavoring,mix flavor,blend flavors together,combine smoothly,unite tastes,flavors meld in stew,,mix flavor blend flavors together combine smoothly unite tastes,4,sound,0.0,meld,21,7.8065643,1.8727614,24,9.607713,5.7158604
process,shape change,shape change,prepare using machinery,blend or grind ingredients,transform using food processor,process nuts into paste,,shape change prepare using machinery blend or grind ingredients transform using food processor,5,shape change,1.0,process,19,5.2496204,3.7084897,24,10.069144,4.8708377
char,flavoring,add flavor,burn surface intentionally,blacken with high heat,add smoky flavor,char vegetables,,add flavor burn surface intentionally blacken with high heat add smoky flavor,5,add water,0.5687180842966731,char,15,3.9416971,2.5664666,24,11.622514,5.4685383
assemble,action,action,put components together,combine prepared parts,build final dish,assemble sandwich,,action put components together combine prepared parts build final dish,4,action,1.0,assemble,17,5.3961377,4.1426773,24,9.236314,5.1398664
seasoning,flavoring,add flavor,flavoring ingredients,salt and spices mix,enhance taste,add seasoning to soup,,add flavor flavoring ingredients salt and spices mix enhance taste,5,add water,0.5687180842966731,seasoning,15,4.4821076,2.092811,24,11.541219,5.9130063
dress,flavoring,add flavor,add dressing or sauce,season and coat food,finish salad,dress the salad,,add flavor add dressing or sauce season and coat food finish salad,5,add water,0.5687180842966731,dress,15,4.701603,2.258158,24,11.472953,5.4830484
drizzle,action,?,pour lightly in thin stream,add small amount of liquid,decorate with sauce,drizzle olive oil,,? pour lightly in thin stream add small amount of liquid decorate with sauce,1,sound,0.0,drizzle,15,5.0955634,2.416144,24,10.518882,5.2773314
measure,unit,unit,determine exact amount,use measuring tools,portion ingredients accurately,measure flour,,unit determine exact amount use measuring tools portion ingredients accurately,1,unit,1.0,measure,17,5.757783,5.0878563,24,10.059583,4.2664914
fold,mixing,mixing,combine gently,turn mixture over softly,preserve air,fold egg whites into batter,,mixing combine gently turn mixture over softly preserve air,4,mixing,1.0,fold,21,5.9371037,3.8864012,24,9.964052,4.88509
beat,shape change,shape change,mix vigorously,stir rapidly,incorporate air,beat eggs,,shape change mix vigorously stir rapidly incorporate air,2,shape change,1.0,beat,15,6.50154,3.628506,24,9.825044,4.897949
stirring,mixing,mixing,moving ingredients around,mixing continuously,prevent sticking,stirring sauce,,mixing moving ingredients around mixing continuously prevent sticking,4,mixing,1.0,stirring,20,6.0227456,3.5230231,24,9.758976,4.9165926
splash,add water,add liquid,spray liquid lightly,scatter small drops,add water or sauce quickly,splash water on vegetables,,add liquid spray liquid lightly scatter small drops add water or sauce quickly,5,liquid leftover,0.4307387267923997,splash,15,5.2311673,2.2686248,24,10.849838,4.544367
rub,action,action,rub spices or fat into food,massage seasoning in,apply friction,rub roast with herbs,,action rub spices or fat into food massage seasoning in apply friction,5,action,1.0,rub,19,5.1845307,3.337472,24,10.869871,4.3081245
puree,mixing,mix high,blend into smooth paste,liquidize ingredients,mix thoroughly,puree carrots for soup,,mix high blend into smooth paste liquidize ingredients mix thoroughly,4,sound,0.0,puree,21,7.773828,2.215908,24,9.725086,5.5078692
cream,mixing,mixing,beat until smooth,combine fat and sugar,make light mixture,cream butter and sugar,,mixing beat until smooth combine fat and sugar make light mixture,4,mixing,1.0,cream,15,7.348996,2.6322927,24,10.361576,5.423509
combine,mixing,mixing,mix together,bring ingredients into one,blend thoroughly,combine flour and eggs,,mixing mix together bring ingredients into one blend thoroughly,4,mixing,1.0,combine,21,7.8134174,1.9689038,24,9.500266,5.7451334
dump,action,action,pour all at once,add quickly,transfer bulk ingredient,dump vegetables into pot,,action pour all at once add quickly transfer bulk ingredient,5,action,1.0,dump,15,5.8492794,4.171866,24,9.400054,4.982069
throw,action,action,add quickly,mix roughly,put in container,throw vegetables into pan,,action add quickly mix roughly put in container,5,action,1.0,throw,15,5.656389,4.0694547,24,9.301071,4.901088
season,flavoring,add flavor,add flavor,use spices or salt,enhance taste,season soup with pepper,,add flavor add flavor use spices or salt enhance taste,5,add water,0.5687180842966731,season,15,4.603872,2.1021576,24,11.443055,5.630772
zest,action,?,grate outer peel of citrus,extract aromatic layer,add flavor,zest lemon over cake,,? grate outer peel of citrus extract aromatic layer add flavor,5,sound,0.0,zest,10,4.340717,2.6917975,24,11.538118,5.899074
blend,mixing,mix high,mix thoroughly,combine ingredients smoothly,puree together,blend fruits for smoothie,,mix high mix thoroughly combine ingredients smoothly puree together,4,sound,0.0,blend,21,7.8376017,2.0504975,24,9.465919,5.689921
toss,action,action,mix lightly by lifting,combine ingredients gently,shake to mix,toss salad,,action mix lightly by lifting combine ingredients gently shake to mix,4,action,1.0,toss,19,5.704765,3.7695127,24,9.961273,5.3823037
taste,action,action,sample for flavor,check seasoning,test doneness,taste soup before serving,,action sample for flavor check seasoning test doneness,5,action,1.0,taste,24,4.123839,3.27055,24,11.63268,5.8972178
cook,action,action,prepare food with heat,apply heat to ingredients,transform raw to edible,cook pasta,,action prepare food with heat apply heat to ingredients transform raw to edible,5,action,1.0,cook,19,5.0753465,3.7212815,24,9.670478,5.1531367
stir,mixing,mixing,mix by rotating,move ingredients around,prevent sticking,stir soup,,mixing mix by rotating move ingredients around prevent sticking,4,mixing,1.0,stir,20,5.8207755,3.5318043,24,9.782722,4.700804
mix,mixing,mixing,combine ingredients,blend thoroughly,stir together,mix flour and sugar,,mixing combine ingredients blend thoroughly stir together,4,mixing,1.0,mix,21,7.818411,2.0332856,24,9.608869,5.6044297
