word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,doc2vec_cluster,umap_x,umap_y
splutter,sound,cooking sound,make popping sounds while cooking,spit or sputter when heated,cook noisily due to moisture or fat,oil splutters when onions are added,,cooking sound make popping sounds while cooking spit or sputter when heated cook noisily due to moisture or fat,5,sound,0.7972674568707612,splutter,1,-0.46764892,2.939648
stream,action,continuous action,pour in a steady flow,add liquid continuously,let liquid run smoothly,stream oil into dressing,,continuous action pour in a steady flow add liquid continuously let liquid run smoothly,5,action,1.0,stream,1,19.224272,0.18138224
crimp,shape change,shape change slight,pinch edges together,seal pastry decoratively,press to close dough,crimp pie crust edges,,shape change slight pinch edges together seal pastry decoratively press to close dough,5,shape change,1.0,crimp,1,21.839832,-1.3315
floured,action,sprinkling flour,coated with flour,dusted to prevent sticking,lightly covered in flour,floured surface for rolling dough,,sprinkling flour coated with flour dusted to prevent sticking lightly covered in flour,4,mixture of flour,0.447213595499958,floured,1,13.901396,6.999958
punch,shape change,shape change,press down firmly,knock air out of dough,deflate risen dough,punch down bread dough,,shape change press down firmly knock air out of dough deflate risen dough,2,shape change,1.0,punch,1,3.132859,9.305745
devein,cleaning,clean fish,remove vein from seafood,clean shrimp vein,extract digestive tract,devein shrimp before cooking,,clean fish remove vein from seafood clean shrimp vein extract digestive tract,3,sound,0.0,devein,1,13.90767,6.735093
select,action,choosing,choose carefully,pick desired items,decide on ingredients,select ripe tomatoes,,choosing choose carefully pick desired items decide on ingredients,5,sound,0.0,select,1,22.477348,-1.5309652
sterilize,cleaning,cleaning strong,destroy bacteria,clean thoroughly for safety,make free of germs,sterilize jars for canning,,cleaning strong destroy bacteria clean thoroughly for safety make free of germs,3,cleaning,1.0,sterilize,1,2.3663812,8.414975
overmix,mixing,mix more,mix too much,work ingredients excessively,overwork batter or dough,overmixing makes cake tough,,mix more mix too much work ingredients excessively overwork batter or dough,4,more cooking,0.6233913715788008,overmix,1,14.009965,8.072939
invert,action,flip action,turn upside down,flip container or food,reverse position,invert cake onto plate,,flip action turn upside down flip container or food reverse position,5,action,1.0,invert,1,12.634378,10.4832325
pressure,shape change,shape change,cook using steam pressure,apply force,use pressure cooking method,pressure cook beans,,shape change cook using steam pressure apply force use pressure cooking method,5,shape change,1.0,pressure,1,18.998276,0.34407333
thread,action,string attaching,slide onto skewer,string ingredients together,arrange in a line,thread vegetables onto skewers,,string attaching slide onto skewer string ingredients together arrange in a line,4,sound,0.0,thread,1,3.952573,10.795064
scramble,mixing,mix eggs,stir while cooking,quickly mix eggs while heating,cook eggs with stirring,scramble eggs in pan,,mix eggs stir while cooking quickly mix eggs while heating cook eggs with stirring,4,sound,0.0,scramble,1,14.011234,7.3663387
knead,shape change,shape change,work dough by hand,press and fold repeatedly,develop gluten structure,knead bread dough,,shape change work dough by hand press and fold repeatedly develop gluten structure,2,shape change,1.0,knead,1,6.033647,11.644081
steep,flavoring,flavor change,soak in hot liquid,extract flavor over time,infuse liquid,steep tea or spices,,flavor change soak in hot liquid extract flavor over time infuse liquid,5,shape change,0.5773502691896257,steep,1,1.3337955,6.0308113
absorbed,add water,absorb water,taken in fully,soaked into food,no liquid remains,rice has absorbed water,,absorb water taken in fully soaked into food no liquid remains,5,water cooking,0.5454499149998363,absorbed,1,12.7015295,10.413628
rise,shape change,shape change,increase in size,expand due to gas,dough grows larger,dough rises before baking,,shape change increase in size expand due to gas dough grows larger,2,shape change,1.0,rise,1,13.897136,8.465047
smoking,flavoring,flavoring food hot,giving off smoke,very hot cooking state,used for flavoring food,smoking pan before searing,,flavoring food hot giving off smoke very hot cooking state used for flavoring food,5,flavoring,1.0,smoking,1,21.783518,-1.4079401
