protocol_idx,cluster
0,2
1,2
2,2
3,2
4,2
5,2
6,0
7,0
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,0
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,13
38,2
39,0
40,2
41,0
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,0
51,0
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,5
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,13
72,2
73,2
74,0
75,0
76,1
77,2
78,2
79,2
80,0
81,2
82,0
83,0
84,2
85,2
86,2
87,2
88,0
89,2
90,0
91,0
92,2
93,0
94,2
95,0
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,0
107,0
108,2
109,2
110,6
111,2
112,0
113,2
114,6
115,2
116,0
117,0
118,0
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,6
130,2
131,0
132,2
133,2
134,2
135,0
136,2
137,2
138,2
139,0
140,2
141,2
142,2
143,2
144,3
145,2
146,0
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,5
156,2
157,0
158,2
159,14
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,0
168,2
169,2
170,0
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,0
179,2
180,2
181,0
182,2
183,2
184,0
185,2
186,2
187,2
188,2
189,2
190,0
191,2
192,2
193,2
194,14
195,2
196,2
197,2
198,5
199,2
200,2
201,2
202,2
203,13
204,2
205,2
206,2
207,6
208,2
209,5
210,25
211,2
212,2
213,2
214,24
215,7
216,2
217,2
218,2
219,7
220,8
221,2
222,23
223,22
224,21
225,20
226,19
227,2
228,2
229,2
230,2
231,8
232,2
233,17
234,2
235,2
236,2
237,16
238,15
239,29
240,27
241,26
242,11
243,2
244,2
245,10
246,2
247,9
248,18
249,2
250,2
251,2
252,2
253,2
254,2
255,3
256,2
257,28
258,12
259,2
260,4
261,7
262,2
263,2
264,2
265,2
266,7
267,7
268,2
269,1
