,dominant_category,purity,size,dominant_count
13,action,0.3150684931506849,73,23
4,action,0.2413793103448276,29,7
27,action,0.3888888888888889,18,7
14,action,0.6666666666666666,15,10
2,action,0.21428571428571427,14,3
12,action,0.3076923076923077,13,4
1,decoration,0.18181818181818182,11,2
9,action,0.2727272727272727,11,3
0,cutting,0.25,8,2
20,shape change,0.2857142857142857,7,2
16,action,0.3333333333333333,6,2
5,shape change,0.5,6,3
10,shape change,0.4,5,2
7,shape change,0.4,5,2
19,flavoring,0.4,5,2
24,action,0.4,5,2
25,sound,0.2,5,1
15,mixing,0.4,5,2
29,shape change,0.5,4,2
22,coating,0.3333333333333333,3,1
17,shape change,0.3333333333333333,3,1
8,light cooking,0.3333333333333333,3,1
21,action,0.6666666666666666,3,2
11,reduce water,0.5,2,1
3,add water,0.5,2,1
6,decoration,0.5,2,1
18,mixing,0.5,2,1
23,action,0.5,2,1
26,cutting,0.5,2,1
28,decoration,1.0,1,1
