protocol_idx,cluster
0,25
1,13
2,23
3,10
4,13
5,4
6,16
7,14
8,12
9,18
10,27
11,4
12,14
13,27
14,7
15,20
16,3
17,20
18,13
19,13
20,13
21,13
22,13
23,13
24,29
25,13
26,13
27,18
28,19
29,13
30,13
31,13
32,7
33,2
34,4
35,13
36,16
37,15
38,10
39,27
40,7
41,8
42,13
43,25
44,9
45,12
46,13
47,20
48,13
49,10
50,29
51,14
52,1
53,2
54,13
55,9
56,13
57,26
58,1
59,2
60,9
61,12
62,0
63,19
64,1
65,4
66,13
67,27
68,0
69,22
70,13
71,27
72,9
73,13
74,1
75,24
76,5
77,13
78,27
79,24
80,4
81,8
82,13
83,0
84,4
85,13
86,13
87,27
88,22
89,13
90,27
91,13
92,13
93,0
94,13
95,26
96,4
97,13
98,13
99,2
100,13
101,4
102,4
103,23
104,13
105,4
106,7
107,1
108,4
109,27
110,27
111,13
112,2
113,13
114,13
115,9
116,0
117,11
118,24
119,9
120,1
121,2
122,13
123,12
124,6
125,7
126,15
127,16
128,1
129,21
130,1
131,12
132,2
133,12
134,4
135,13
136,4
137,12
138,12
139,25
140,9
141,13
142,19
143,1
144,13
145,4
146,12
147,20
148,13
149,13
150,5
151,9
152,13
153,2
154,3
155,27
156,4
157,22
158,10
159,12
160,15
161,13
162,20
163,4
164,14
165,20
166,4
167,14
168,4
169,2
170,12
171,2
172,15
173,11
174,8
175,4
176,13
177,13
178,0
179,4
180,24
181,4
182,14
183,28
184,16
185,27
186,0
187,19
188,13
189,10
190,16
191,13
192,2
193,5
194,15
195,12
196,4
197,13
198,27
199,6
200,13
201,4
202,9
203,27
204,25
205,17
206,13
207,21
208,13
209,14
210,14
211,27
212,13
213,29
214,4
215,13
216,14
217,25
218,2
219,5
220,9
221,13
222,2
223,5
224,4
225,1
226,13
227,27
228,13
229,13
230,0
231,9
232,4
233,4
234,2
235,13
236,4
237,13
238,17
239,5
240,24
241,21
242,14
243,16
244,13
245,19
246,14
247,27
248,4
249,13
250,17
251,13
252,1
253,13
254,13
255,27
256,12
257,13
258,13
259,13
260,14
261,20
262,13
263,13
264,29
265,13
266,14
267,14
268,13
269,14
