,cluster
0,4
1,6
2,7
3,4
4,6
5,6
6,4
7,3
8,6
9,8
10,6
11,6
12,3
13,6
14,4
15,6
16,1
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,3
25,6
26,6
27,8
28,6
29,6
30,6
31,6
32,4
33,6
34,6
35,6
36,4
37,5
38,4
39,6
40,4
41,7
42,6
43,4
44,4
45,6
46,6
47,6
48,6
49,4
50,3
51,3
52,6
53,6
54,6
55,4
56,6
57,2
58,6
59,6
60,4
61,6
62,4
63,6
64,6
65,6
66,6
67,6
68,4
69,4
70,6
71,6
72,4
73,6
74,6
75,3
76,3
77,6
78,6
79,3
80,6
81,7
82,6
83,4
84,6
85,6
86,6
87,6
88,4
89,6
90,6
91,6
92,6
93,4
94,6
95,2
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,7
104,6
105,6
106,4
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,4
116,4
117,4
118,3
119,4
120,6
121,6
122,6
123,6
124,6
125,4
126,5
127,4
128,6
129,8
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,4
140,4
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,3
151,4
152,6
153,6
154,1
155,6
156,6
157,4
158,4
159,6
160,5
161,6
162,6
163,6
164,3
165,6
166,6
167,3
168,6
169,6
170,6
171,6
172,5
173,4
174,7
175,6
176,6
177,6
178,4
179,6
180,3
181,6
182,3
183,6
184,4
185,6
186,4
187,6
188,6
189,4
190,4
191,6
192,6
193,3
194,5
195,6
196,6
197,6
198,6
199,6
200,6
201,6
202,4
203,6
204,4
205,6
206,6
207,8
208,6
209,3
210,3
211,6
212,6
213,3
214,6
215,6
216,3
217,4
218,6
219,3
220,4
221,6
222,6
223,3
224,6
225,6
226,6
227,6
228,6
229,6
230,4
231,4
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,3
240,3
241,8
242,3
243,4
244,6
245,6
246,3
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,6
255,6
256,6
257,6
258,6
259,6
260,3
261,6
262,6
263,6
264,3
265,6
266,3
267,3
268,6
269,3
270,3
