protocol_idx,cluster
0,13
1,2
2,1
3,2
4,18
5,17
6,16
7,26
8,5
9,18
10,2
11,24
12,6
13,12
14,1
15,7
16,16
17,6
18,22
19,1
20,28
21,26
22,6
23,4
24,0
25,9
26,13
27,0
28,17
29,4
30,14
31,4
32,16
33,25
34,12
35,28
36,10
37,7
38,1
39,7
40,12
41,18
42,8
43,3
44,28
45,9
46,8
47,26
48,10
49,7
50,26
51,11
52,9
53,6
54,10
55,3
56,3
57,29
58,11
59,22
60,25
61,26
62,13
63,18
64,6
65,18
66,14
67,0
68,7
69,29
70,12
71,25
72,1
73,24
74,13
75,4
76,2
77,11
78,1
79,22
80,28
81,12
82,6
83,8
84,7
85,20
86,9
87,0
88,0
89,5
90,9
91,1
92,4
93,3
94,11
95,4
96,18
97,20
98,0
99,25
100,8
101,3
102,13
103,8
104,5
105,14
106,10
107,13
108,8
109,2
110,8
111,16
112,12
113,18
114,28
115,29
116,2
117,10
118,24
119,25
120,8
121,3
122,22
123,8
124,16
125,9
126,8
127,2
128,17
129,8
130,6
131,3
132,22
133,11
134,25
135,26
136,17
137,9
138,29
139,5
140,1
141,4
142,2
143,20
144,28
145,5
146,2
147,1
148,9
149,9
150,25
151,11
152,17
153,12
154,13
155,2
156,5
157,13
158,3
159,4
160,18
161,0
162,7
163,6
164,20
165,7
166,10
167,5
168,11
169,9
170,14
171,17
172,13
173,17
174,9
175,7
176,16
177,18
178,24
179,12
180,26
181,17
182,6
183,2
184,3
185,20
186,1
187,29
188,29
189,20
190,28
191,12
192,26
193,10
194,12
195,13
196,25
197,6
198,7
199,18
200,5
201,18
202,22
203,11
204,0
205,12
206,6
207,13
208,26
209,3
210,4
211,11
212,9
213,8
214,22
215,19
216,10
217,0
218,12
219,21
220,18
221,13
222,0
223,5
224,2
225,1
226,14
227,0
228,4
229,20
230,18
231,11
232,0
233,10
234,7
235,0
236,0
237,8
238,3
239,10
240,8
241,22
242,7
243,14
244,4
245,3
246,5
247,6
248,18
249,24
250,6
251,10
252,24
253,9
254,11
255,17
256,0
257,22
258,2
259,9
260,8
261,15
262,18
263,18
264,6
265,17
266,27
267,23
268,3
269,6
