,cluster
0,4
1,4
2,3
3,4
4,4
5,2
6,4
7,4
8,3
9,4
10,4
11,2
12,4
13,2
14,1
15,3
16,4
17,4
18,1
19,3
20,5
21,4
22,4
23,2
24,1
25,5
26,4
27,1
28,2
29,2
30,4
31,2
32,4
33,2
34,2
35,5
36,5
37,3
38,1
39,3
40,2
41,4
42,5
43,2
44,5
45,5
46,5
47,4
48,5
49,3
50,4
51,4
52,5
53,4
54,5
55,2
56,2
57,4
58,4
59,1
60,2
61,4
62,4
63,4
64,4
65,4
66,4
67,1
68,3
69,4
70,2
71,2
72,3
73,2
74,4
75,2
76,4
77,4
78,3
79,1
80,5
81,2
82,4
83,5
84,3
85,2
86,5
87,1
88,1
89,3
90,5
91,3
92,2
93,2
94,4
95,2
96,4
97,2
98,1
99,2
100,5
101,2
102,4
103,5
104,3
105,4
106,5
107,4
108,5
109,4
110,5
111,4
112,2
113,4
114,5
115,4
116,4
117,5
118,2
119,2
120,5
121,2
122,1
123,5
124,4
125,5
126,5
127,4
128,2
129,5
130,4
131,2
132,1
133,4
134,2
135,4
136,2
137,5
138,4
139,3
140,3
141,2
142,4
143,2
144,5
145,3
146,4
147,1
148,5
149,5
150,2
151,4
152,2
153,2
154,4
155,4
156,3
157,4
158,2
159,2
160,4
161,1
162,3
163,4
164,2
165,3
166,5
167,3
168,4
169,5
170,4
171,2
172,4
173,2
174,5
175,3
176,4
177,4
178,2
179,2
180,4
181,2
182,4
183,4
184,2
185,2
186,3
187,4
188,4
189,2
190,5
191,2
192,4
193,5
194,2
195,4
196,2
197,4
198,3
199,4
200,3
201,4
202,1
203,4
204,1
205,2
206,4
207,4
208,4
209,2
210,2
211,4
212,5
213,5
214,1
215,3
216,5
217,1
218,2
219,3
220,4
221,4
222,1
223,3
224,4
225,1
226,4
227,1
228,2
229,2
230,4
231,4
232,1
233,5
234,3
235,1
236,1
237,5
238,2
239,5
240,5
241,1
242,3
243,4
244,2
245,2
246,3
247,4
248,4
249,2
250,4
251,5
252,2
253,5
254,4
255,2
256,1
257,1
258,4
259,5
260,5
261,3
262,4
263,4
264,4
265,2
266,5
267,3
268,2
269,4
270,1
