Word,REMARK
splutter,sound
deflate,shape change
stream,action
crimp,shape change
floured,action
punch,shape change
devein,cleaning
select,action
sterilize,cleaning
overmix,mixing
invert,action
pressure,shape change
thread,action
scramble,mixing
knead,shape change
steep,flavoring
absorbed,add water
rise,shape change
smoking,flavoring
marinate,flavoring
frost,coating
foam,forming foam
crockpot,pressure cooking
caramelize,coating
refrigerate,shape change
grease,coating
evaporated,reduce water
overcook,more cooking
massage,flavoring
charred,more cooking
evaporate,reduce water
condensed,reduce water
griddle,utensils
presentation,decoration
dredge,coating
barbecue,more cooking
curdle,forming curd
dollop,unit
scorching,more cooking
tilt,action
muddle,mixing
deglaze,light cooking
freezing,cooling
parboil,water cooking
baste,add water
scrub,cleaning
defrost,reduce water
rising,shape change
preheat,light cooking
roux,mixture of flour
store,action
tie,action
slit,cutting
distribute,separate items
bubbling,bubble formation
blanch,heat plus cool item
flavoring,flavoring
pierce,cutting
decorate,decoration
insert,action
broil,more cooking
unmold,action
grate,shape change
prick,cutting
dressing,flavoring
shred,shape change
ice,cooling
flatten,shape change
sizzle,sound
sear,coating
caramelized,coating
unroll,shape change
sweeten,add sugar
flake,cutting
tuck,shape change
stop,action
settle,action
moisten,add water
rotate,action
crumble,cutting
snap,cutting
skim,reduce water
soak,add water
sieve,filtering
stretch,shape change
drip,reduce water
sweat,light cooking
handle,action
submerge,add water
spray,add water
flip,action
immerse,add water
powdered,shape change
sift,utensils
shake,action
wilt,shape change
scrape,cleaning
smoke,flavoring
marinade,flavoring
dissolve,add water
toast,light cooking
squeeze,action
grind,cutting
blitz,cutting
bubble,bubble formation
slash,cutting
blot,reduce water
style,decoration
trim,remove unwanted item
twist,action
whip,shape change
carve,cutting
divide,cutting
meld,flavoring
swirl,action
thicken,reduce water
garnish,decoration
thaw,reduce water
braise,light cooking
uncover,action
process,shape change
bake,more cooking
rinse,cleaning
repeat,action
scatter,decoration
square,shape change
char,flavoring
uncovered,action
whirl,action
seal,action
wipe,cleaning
assemble,action
wash,cleaning
strain,filtering
pop,many meaning
strip,separate items
brush,action
smear,action
poach,water cooking
ladle,utensils
seasoning,flavoring
poke,cutting
dress,flavoring
burn,more cooking
reduce,reduce water
dust,action
stack,shape change
reheat,light cooking
dripping,liquid leftover
transfer,action
soften,shape change
drizzle,action
arrange,action
measure,unit
fold,mixing
beat,shape change
simmer,light cooking
saute,more cooking
mould,shape change
shape,shape change
stirring,mixing
raise,action
tear,cutting
pick,action
stand,action
scoop,unit
stuff,mixing
smash,shape change
sort,decoration
clean,cleaning
prepare,decoration
squash,shape change
mash,mixing
dash,unit
crush,shape change
drain,reduce water
splash,add water
glaze,coating
break,cutting
chill,cooling
drop,action
test,action
dice,cutting
lard,decoration
unwrap,action
slather,coating
rub,action
moist,add water
scald,light cooking
pat,action
steam,water cooking
split,cutting
pack,decoration
mound,shape change
replace,action
foil,decoration
roast,more cooking
unfold,shape change
yield,output
smooth,shape change
press,action
puree,mixing
roll,shape change
sprout,item
serve,decoration
skin,shape change
whisk,shape change
melt,shape change
hold,action
check,action
wrap,action
boil,water cooking
reserve,action
pull,shape change
fill,action
start,action
sprinkle,action
spread,coating
move,action
minced,cutting
cream,mixing
combine,mixing
dump,action
peel,shape change
coat,coating
dip,action
throw,action
fry,more cooking
season,flavoring
zest,action
mince,cutting
push,action
chop,cutting
separate,cutting
butter,coating
slice,cutting
wet,add water
sit,action
save,action
wait,action
wok,utensils
open,action
stew,light cooking
blend,mixing
touch,action
cool,cooling
toss,action
cut,cutting
taste,action
rest,action
pre-heat,light cooking
cover,action
stir-fry,more cooking
pan-fry,more cooking
turn,action
remove,action
dry,reduce water
warm,light cooking
pour,action
note,action
top,decoration
heat,light cooking
cook,action
place,action
stir,mixing
take,action
put,action
mix,mixing
set,action
add,action
